0,1,2,3,4,5,6,7,8,9,10,11,12
DT Johnston (IRE),31*,66,41,2,0,75.6,1,,v Bangladesh,Dhaka,18-Mar-08,
Misbah-ul-Haq (PAK),31*,46,26,3,0,119.23,1,,v India,Karachi,26-Jun-08,
A Flintoff (ENG),31*,17,12,5,1,258.33,2,,v South Africa,Lord's,31-Aug-08,
JA Morkel (SA),31*,62,39,2,1,79.48,1,,v Bangladesh,Potchefstroom,07-Nov-08,
MV Boucher (SA),31*,97,44,1,0,70.45,2,,v Australia,Sydney,23-Jan-09,
AU Rashid (ENG),31*,46,23,4,0,134.78,2,,v Australia,The Oval,04-Sep-09,
TT Bresnan (ENG),31*,62,37,3,0,83.78,1,,v Australia,Southampton,09-Sep-09,
TT Bresnan (ENG),31*,62,38,3,0,81.57,2,,v Australia,Nottingham,17-Sep-09,
AG Cremer (ZIM),31*,27,19,3,0,163.15,1,,v Kenya,Harare,13-Oct-09,
MEK Hussey (AUS),31*,33,22,1,2,140.9,1,,v India,Hyderabad (Deccan),05-Nov-09,
MV Boucher (SA),31*,23,19,2,2,163.15,1,,v Zimbabwe,Centurion,10-Nov-09,
DR Lockhart (SCOT),31*,46,44,0,0,70.45,1,,v Netherlands,Rotterdam,15-Jun-10,
MA Ouma (KENYA),31*,-,61,4,0,50.81,1,,v Afghanistan,Nairobi (Gym),09-Oct-10,
JEC Franklin (NZ),31*,12,8,2,3,387.5,1,,v Canada,Mumbai,13-Mar-11,
AB de Villiers (SA),31*,58,35,2,0,88.57,2,,v New Zealand,Napier,29-Feb-12,
KTGD Prasad (SL),31*,43,21,2,1,147.61,2,,v Australia,Brisbane,04-Mar-12,
DJG Sammy (WI),31*,18,13,3,2,238.46,1,,v Australia,Gros Islet,23-Mar-12,
DJG Sammy (WI),31*,23,21,1,2,147.61,1,,v New Zealand,Kingston,07-Jul-12,
RJ Peterson (SA),31*,33,20,4,1,155,1,,v England,Lord's,02-Sep-12,
R Ashwin (INDIA),31*,78,39,2,0,79.48,1,,v Pakistan,Chennai,30-Dec-12,
JP Faulkner (AUS),31*,39,25,2,0,124,1,,v West Indies,Melbourne,10-Feb-13,
PL Mommsen (SCOT),31*,-,29,3,1,106.89,2,,v Ireland,Dublin (Malahide),12-Sep-14,
A Balbirnie (IRE),31*,-,50,3,0,62,2,,v Afghanistan,Dubai (DSC),10-Jan-15,
MJ McClenaghan (NZ),31*,30,18,3,2,172.22,1,,v Pakistan,Wellington,25-Jan-16,
MF Maharoof (SL),31*,41,30,1,1,103.33,1,,v England,Nottingham,21-Jun-16,
Dawlat Zadran (AFG),31*,-,15,3,2,206.66,2,,v Ireland,Belfast,19-Jul-16,
JO Holder (WI),31*,30,26,4,0,119.23,2,,v Pakistan,Sharjah,02-Oct-16,
AG Cremer (ZIM),31*,100,56,2,0,55.35,1,,v Sri Lanka,Harare,14-Nov-16,
MM Ali (ENG),31*,25,22,2,0,140.9,1,,v West Indies,North Sound,03-Mar-17,
Babar Azam (PAK),31*,80,51,4,0,60.78,2,,v South Africa,Birmingham,07-Jun-17,
Mohammad Hafeez (PAK),31*,24,21,3,2,147.61,2,,v England,Cardiff,14-Jun-17,
AR Nurse (WI),31*,-,12,3,2,258.33,1,,v England,Southampton,29-Sep-17,
EC Joyce (IRE),31*,-,44,5,0,70.45,2,,v Scotland,ICCA Dubai,16-Jan-18,
TD Paine (AUS),31*,-,35,1,0,88.57,2,,v England,Sydney,21-Jan-18,
MRJ Watt (SCOT),31*,36,19,2,2,163.15,2,,v Ireland,Harare,18-Mar-18,
AT Rayudu (INDIA),31*,-,46,3,0,67.39,2,,v Pakistan,Dubai (DSC),19-Sep-18,
KD Karthik (INDIA),31*,-,37,2,1,83.78,2,,v Pakistan,Dubai (DSC),19-Sep-18,
EJG Morgan (ENG),31*,-,34,3,1,91.17,2,,v Sri Lanka,Pallekele,20-Oct-18,
MP Stoinis (AUS),31*,-,26,4,0,119.23,1,,v India,Ranchi,08-Mar-19,
JP Duminy (SA),31*,30,21,4,1,147.61,2,,v Sri Lanka,Port Elizabeth,13-Mar-19,
K Rabada (SA),31*,45,35,2,0,88.57,1,,v India,Southampton,05-Jun-19,
MM Ali (ENG),31*,15,9,1,4,344.44,1,,v Afghanistan,Manchester,18-Jun-19,
H Hiri (PNG),31*,-,33,2,0,93.93,1,,v Oman,Aberdeen,21-Aug-19,
JH Kallis (SA),31,55,48,1,1,64.58,2,,v Sri Lanka,Bloemfontein,14-Jan-01,
MG Bevan (AUS),31,57,55,2,0,56.36,1,,v West Indies,Sydney,17-Jan-01,
DP Viljoen (ZIM),31,45,47,2,0,65.95,2,,v Australia,Sydney,28-Jan-01,
L Vincent (NZ),31,58,50,4,0,62,1,,v Pakistan,Auckland,17-Feb-01,
Abdul Razzaq (PAK),31,68,54,1,1,57.4,2,,v New Zealand,Christchurch,25-Feb-01,
R Dravid (INDIA),31,65,45,1,0,68.88,1,,v Australia,Margao,06-Apr-01,
Mushfiqur Rahman (BDESH),31,65,59,2,0,52.54,1,,v Zimbabwe,Harare,07-Apr-01,
DPMD Jayawardene (SL),31,-,39,2,0,79.48,2,,v Pakistan,Sharjah,13-Apr-01,
BC Lara (WI),31,65,39,4,0,79.48,2,,v South Africa,St George's,05-May-01,
TM Odoyo (KENYA),31,-,41,1,1,75.6,1,,v West Indies,Nairobi (Gym),19-Aug-01,
SV Carlisle (ZIM),31,51,36,5,0,86.11,2,,v South Africa,Harare,29-Sep-01,
DR Martyn (AUS),31,89,46,2,0,67.39,1,,v South Africa,Melbourne,13-Jan-02,
CL Cairns (NZ),31,44,29,3,0,106.89,1,,v Australia,Sydney,17-Jan-02,
Aminul Islam (BDESH),31,68,42,3,0,73.8,1,,v Pakistan,Dhaka,25-Jan-02,
AC Gilchrist (AUS),31,41,40,6,0,77.5,1,,v South Africa,Perth,03-Feb-02,
V Sehwag (INDIA),31,59,29,4,1,106.89,2,,v England,Mumbai,03-Feb-02,
CZ Harris (NZ),31,73,63,1,0,49.2,1,,v South Africa,Sydney,08-Feb-02,
ADR Campbell (ZIM),31,46,38,4,0,81.57,2,,v India,Guwahati,19-Mar-02,
TJ Friend (ZIM),31,54,34,4,0,91.17,2,,v India,Guwahati,19-Mar-02,
DS Lehmann (AUS),31,77,58,3,0,53.44,1,,v Pakistan,Melbourne (Docklands),15-Jun-02,
SK Warne (AUS),31,64,54,1,0,57.4,2,,v Pakistan,Brisbane,19-Jun-02,
NV Knight (ENG),31,59,42,2,0,73.8,1,,v India,Lord's,29-Jun-02,
Yuvraj Singh (INDIA),31,68,44,3,0,70.45,2,,v Sri Lanka,The Oval,30-Jun-02,
NV Knight (ENG),31,57,38,4,0,81.57,1,,v India,The Oval,09-Jul-02,
DPMD Jayawardene (SL),31,52,44,2,0,70.45,2,,v India,Bristol,11-Jul-02,
WPUJC Vaas (SL),31,35,25,4,0,124,2,,v Pakistan,Tangier,14-Aug-02,
Shahid Afridi (PAK),31,38,28,3,2,110.71,2,,v Kenya,Nairobi (Gym),01-Sep-02,
TBM de Leede (NL),31,71,43,5,0,72.09,2,,v Sri Lanka,Colombo (RPS),16-Sep-02,
HH Dippenaar (SA),31,32,28,3,1,110.71,1,,v Kenya,Colombo (RPS),20-Sep-02,
SP Fleming (NZ),31,64,40,5,0,77.5,1,,v Bangladesh,Colombo (SSC),23-Sep-02,
AC Gilchrist (AUS),31,37,24,6,0,129.16,1,,v Sri Lanka,Colombo (RPS),27-Sep-02,
DPMD Jayawardene (SL),31,109,72,1,0,43.05,1,,v South Africa,Johannesburg,27-Nov-02,
HK Olonga (ZIM),31,25,22,2,3,140.9,2,,v Pakistan,Harare,01-Dec-02,
Saleem Elahi (PAK),31,115,69,2,0,44.92,2,,v South Africa,Durban,08-Dec-02,
Kamran Akmal (PAK),31,49,38,5,0,81.57,1,,v South Africa,Paarl,16-Dec-02,
JM Davison (CAN),31,47,32,2,2,96.87,1,,v Kenya,Cape Town,15-Feb-03,
JV Harris (CAN),31,97,74,2,1,41.89,1,,v Kenya,Cape Town,15-Feb-03,
DLS van Bunge (NL),31,75,60,3,1,51.66,2,,v Pakistan,Paarl,25-Feb-03,
CL Cairns (NZ),31,40,28,2,1,110.71,2,,v Canada,Benoni,03-Mar-03,
DR Martyn (AUS),31,83,53,3,0,58.49,1,,v New Zealand,Port Elizabeth,11-Mar-03,
GW Flower (ZIM),31,85,52,4,0,59.61,2,,v Sri Lanka,East London,15-Mar-03,
DD Ebrahim (ZIM),31,107,63,2,0,49.2,2,,v Pakistan,Sharjah,03-Apr-03,
HP Tillakaratne (SL),31,69,52,0,0,59.61,1,,v Zimbabwe,Sharjah,07-Apr-03,
T Taibu (ZIM),31,44,54,3,0,57.4,2,,v Sri Lanka,Sharjah,07-Apr-03,
MG Bevan (AUS),31,-,40,1,1,77.5,2,,v West Indies,Port of Spain,25-May-03,
KC Sangakkara (SL),31,-,56,1,0,55.35,2,,v West Indies,Bridgetown,08-Jun-03,
Habibul Bashar (BDESH),31,84,56,1,0,55.35,1,,v Australia,Cairns,03-Aug-03,
AC Gilchrist (AUS),31,57,35,3,1,88.57,1,,v Bangladesh,Darwin,06-Aug-03,
Shoaib Malik (PAK),31,32,20,3,1,155,1,,v Bangladesh,Karachi,21-Sep-03,
V Sehwag (INDIA),31,39,29,5,1,106.89,1,,v New Zealand,Chennai,23-Oct-03,
RT Ponting (AUS),31,55,37,3,0,83.78,1,,v India,Mumbai,01-Nov-03,
VVS Laxman (INDIA),31,88,46,4,0,67.39,1,,v New Zealand,Cuttack,06-Nov-03,
R Dravid (INDIA),31,45,41,2,0,75.6,1,,v New Zealand,Cuttack,06-Nov-03,
BB McCullum (NZ),31,67,69,3,0,44.92,2,,v India,Hyderabad (Deccan),15-Nov-03,
PD Collingwood (ENG),31,110,96,0,0,32.29,1,,v Sri Lanka,Dambulla,18-Nov-03,
CD Cumming (NZ),31,50,42,3,0,73.8,1,,v Pakistan,Wellington,17-Jan-04,
Mohammad Ashraful (BDESH),31,70,38,2,1,81.57,2,,v Zimbabwe,Harare,12-Mar-04,
ST Jayasuriya (SL),31,48,30,4,1,103.33,2,,v Zimbabwe,Bulawayo,22-Apr-04,
SP Fleming (NZ),31,40,34,5,0,91.17,2,,v England,Chester-le-Street,29-Jun-04,
S Chanderpaul (WI),31,62,44,2,1,70.45,2,,v New Zealand,Lord's,10-Jul-04,
Yasir Hameed (PAK),31,85,56,4,0,55.35,1,,v India,Colombo (RPS),25-Jul-04,
MJ Clarke (AUS),31,54,31,4,0,100,1,,v Pakistan,Lord's,04-Sep-04,
P Utseya (ZIM),31,35,28,5,0,110.71,1,,v Sri Lanka,The Oval,14-Sep-04,
AF Giles (ENG),31,47,37,3,0,83.78,1,,v West Indies,The Oval,25-Sep-04,
MS Sinclair (NZ),31,65,53,4,0,58.49,2,,v Sri Lanka,Auckland,26-Dec-04,
Shoaib Malik (PAK),31,54,43,4,0,72.09,1,,v Australia,Hobart,16-Jan-05,
BRM Taylor (ZIM),31,54,51,3,0,60.78,1,,v Bangladesh,Chattogram,24-Jan-05,
A Symonds (AUS),31,-,49,3,0,63.26,1,,v West Indies,Adelaide,26-Jan-05,
T Taibu (ZIM),31,66,48,2,0,64.58,1,,v Bangladesh,Dhaka,31-Jan-05,
Shahid Afridi (PAK),31,23,21,1,2,147.61,2,,v Australia,Sydney,06-Feb-05,
ML Hayden (AUS),31,71,44,2,1,70.45,1,,v England,Bristol,19-Jun-05,
ML Hayden (AUS),31,68,47,5,0,65.95,2,,v England,The Oval,12-Jul-05,
M Kaif (INDIA),31,56,36,3,0,86.11,2,,v Sri Lanka,Colombo (RPS),09-Aug-05,
Mohammad Ashraful (BDESH),31,62,54,2,0,57.4,2,,v Sri Lanka,Colombo (RPS),02-Sep-05,
Tushar Imran (BDESH),31,42,37,3,0,83.78,2,,v Sri Lanka,Colombo (RPS),02-Sep-05,
SC Ganguly (INDIA),31,56,44,5,0,70.45,1,,v New Zealand,Harare,06-Sep-05,
AG Prince (SA),31,52,45,5,0,68.88,2,,v New Zealand,Bloemfontein,23-Oct-05,
MJ Clarke (AUS),31,67,49,2,1,63.26,1,,v New Zealand,Auckland,03-Dec-05,
Shahid Afridi (PAK),31,20,14,3,2,221.42,1,,v England,Karachi,15-Dec-05,
A Symonds (AUS),31,39,32,2,1,96.87,2,,v Sri Lanka,Sydney,22-Jan-06,
WU Tharanga (SL),31,100,66,2,0,46.96,1,,v Australia,Adelaide,26-Jan-06,
J Mubarak (SL),31,65,50,5,0,62,1,,v South Africa,Perth,31-Jan-06,
HH Dippenaar (SA),31,60,43,6,0,72.09,1,,v Australia,Cape Town,03-Mar-06,
LRPL Taylor (NZ),31,39,29,7,0,106.89,1,,v West Indies,Auckland,04-Mar-06,
DPMD Jayawardene (SL),31,68,56,1,0,55.35,1,,v Pakistan,Colombo (SSC),22-Mar-06,
MF Maharoof (SL),31,36,25,4,0,124,1,,v Netherlands,Amstelveen,04-Jul-06,
PJC Hoffmann (SCOT),31,16,14,1,4,221.42,2,,v Ireland,Ayr,05-Aug-06,
NFI McCallum (SCOT),31,30,26,3,0,119.23,2,,v Netherlands,Ayr,06-Aug-06,
ST Jayasuriya (SL),31,61,46,5,0,67.39,1,,v Bangladesh,Mohali,07-Oct-06,
DPMD Jayawardene (SL),31,69,41,3,0,75.6,1,,v Pakistan,Jaipur,17-Oct-06,
JDP Oram (NZ),31,28,26,4,1,119.23,1,,v Pakistan,Mohali,25-Oct-06,
ES Szwarczynski (NL),31,64,37,4,0,83.78,1,,v Canada,Potchefstroom,26-Nov-06,
E Chigumbura (ZIM),31,54,50,3,0,62,1,,v Bangladesh,Khulna,30-Nov-06,
GR Codrington (CAN),31,57,40,3,0,77.5,1,,v Netherlands,Benoni,01-Dec-06,
CJ Chibhabha (ZIM),31,86,55,2,1,56.36,1,,v Bangladesh,Bogra,03-Dec-06,
E Chigumbura (ZIM),31,85,68,2,0,45.58,2,,v Bangladesh,Bogra,05-Dec-06,
KM Dabengwa (ZIM),31,43,33,2,1,93.93,2,,v Bangladesh,Bogra,05-Dec-06,
Mohammad Hafeez (PAK),31,60,43,2,1,72.09,2,,v West Indies,Lahore,10-Dec-06,
LPC Silva (SL),31,74,53,2,0,58.49,1,,v New Zealand,Queenstown,31-Dec-06,
JWM Dalrymple (ENG),31,70,51,2,0,60.78,1,,v Australia,Brisbane,19-Jan-07,
SR Tendulkar (INDIA),31,54,38,3,0,81.57,1,,v West Indies,Nagpur,21-Jan-07,
BC Lara (WI),31,28,23,2,2,134.78,2,,v India,Nagpur,21-Jan-07,
RR Watson (SCOT),31,45,33,3,0,93.93,2,,v Kenya,Mombasa,21-Jan-07,
DJ Bravo (WI),31,38,33,4,1,93.93,2,,v India,Cuttack,24-Jan-07,
IR Bell (ENG),31,62,42,3,1,73.8,2,,v New Zealand,Perth,30-Jan-07,
Aftab Ahmed (BDESH),31,45,26,4,2,119.23,1,,v Zimbabwe,Harare,04-Feb-07,
H Masakadza (ZIM),31,48,32,0,0,96.87,2,,v Bangladesh,Harare,04-Feb-07,
RM Haq (SCOT),31,49,29,5,0,106.89,1,,v Bermuda,Nairobi (Ruaraka),05-Feb-07,
L Vincent (NZ),31,72,32,3,0,96.87,2,,v England,Brisbane,06-Feb-07,
Habibul Bashar (BDESH),31,57,53,1,0,58.49,1,,v Zimbabwe,Harare,09-Feb-07,
KD Karthik (INDIA),31,55,49,1,0,63.26,2,,v Sri Lanka,Rajkot,11-Feb-07,
JJ Tucker (BMUDA),31,-,39,3,0,79.48,1,,v Bangladesh,St John's,25-Feb-07,
AA Mulla (CAN),31,-,41,4,1,75.6,2,,v Bermuda,St John's,26-Feb-07,
PD Collingwood (ENG),31,72,54,2,0,57.4,1,,v New Zealand,Gros Islet,16-Mar-07,
RR Watson (SCOT),31,82,50,4,0,62,1,,v South Africa,Basseterre,20-Mar-07,
HH Gibbs (SA),31,79,51,1,0,60.78,2,,v Sri Lanka,Providence,28-Mar-07,
IR Bell (ENG),31,92,74,2,0,41.89,1,,v Ireland,Providence,30-Mar-07,
WTS Porterfield (IRE),31,84,68,1,0,45.58,2,,v England,Providence,30-Mar-07,
JDP Oram (NZ),31,52,45,0,1,68.88,1,,v Sri Lanka,St George's,12-Apr-07,
JP Bray (IRE),31,111,70,1,0,44.28,1,,v Bangladesh,Bridgetown,15-Apr-07,
MN Samuels (WI),31,74,66,4,0,46.96,1,,v Bangladesh,Bridgetown,19-Apr-07,
Yuvraj Singh (Asia),31,38,30,3,0,103.33,1,,v Africa XI,Bengaluru,06-Jun-07,
Yuvraj Singh (Asia),31,54,35,6,0,88.57,1,,v Africa XI,Chennai,10-Jun-07,
TN de Grooth (NL),31,45,21,2,1,147.61,2,,v Bermuda,Rotterdam,20-Aug-07,
R Dravid (INDIA),31,57,48,3,1,64.58,2,,v Australia,Kochi,02-Oct-07,
JA Morkel (SA),31,37,28,3,1,110.71,2,,v Pakistan,Lahore,20-Oct-07,
Abdur Rehman (PAK),31,47,37,3,0,83.78,1,,v South Africa,Multan,26-Oct-07,
Shahid Afridi (PAK),31,40,32,1,1,96.87,1,,v India,Guwahati,05-Nov-07,
Shoaib Malik (PAK),31,94,55,3,0,56.36,1,,v India,Gwalior,15-Nov-07,
P Mustard (ENG),31,101,60,2,0,51.66,1,,v New Zealand,Wellington,09-Feb-08,
JD Ryder (NZ),31,61,50,4,1,62,2,,v England,Wellington,09-Feb-08,
MS Dhoni (INDIA),31,33,26,3,0,119.23,1,,v Sri Lanka,Canberra,12-Feb-08,
LRPL Taylor (NZ),31,84,49,1,1,63.26,1,,v England,Auckland,15-Feb-08,
IK Pathan (INDIA),31,62,41,4,0,75.6,2,,v Sri Lanka,Adelaide,19-Feb-08,
MJ Clarke (AUS),31,41,38,0,0,81.57,1,,v India,Sydney,24-Feb-08,
A Symonds (AUS),31,71,44,4,0,70.45,1,,v India,Sydney,02-Mar-08,
SR Watson (AUS),31,59,27,4,0,114.81,1,,v West Indies,Kingstown,24-Jun-08,
D Ramdin (WI),31,55,38,1,0,81.57,2,,v Australia,Kingstown,24-Jun-08,
RR Sarwan (WI),31,73,43,2,0,72.09,1,,v Australia,St George's,29-Jun-08,
DJ Bravo (WI),31,47,32,2,1,96.87,2,,v Australia,Basseterre,04-Jul-08,
J Edness (BMUDA),31,62,46,1,1,67.39,1,,v Netherlands,Amstelveen,08-Aug-08,
V Kohli (INDIA),31,45,46,3,1,67.39,2,,v Sri Lanka,Colombo (RPS),29-Aug-08,
SR Patel (ENG),31,49,33,3,0,93.93,1,,v South Africa,The Oval,29-Aug-08,
T Taibu (ZIM),31,55,38,1,0,81.57,2,,v Sri Lanka,Harare,24-Nov-08,
AD Mathews (SL),31,44,30,0,1,103.33,1,,v Zimbabwe,Harare,30-Nov-08,
P Utseya (ZIM),31,124,99,0,0,31.31,2,,v Sri Lanka,Harare,30-Nov-08,
J Mubarak (SL),31,84,62,3,0,50,1,,v Zimbabwe,Dhaka,12-Jan-09,
CK Kapugedera (SL),31,36,29,3,0,106.89,2,,v India,Colombo (RPS),31-Jan-09,
BJ Haddin (AUS),31,57,54,1,1,57.4,1,,v New Zealand,Perth,01-Feb-09,
TM Dilshan (SL),31,38,26,4,1,119.23,2,,v India,Colombo (RPS),03-Feb-09,
LRPL Taylor (NZ),31,31,24,3,0,129.16,2,,v India,Napier,03-Mar-09,
JH Kallis (SA),31,66,42,5,0,73.8,2,,v Australia,Centurion,05-Apr-09,
SD Outerbridge (BMUDA),31,28,20,2,2,155,1,,v Kenya,Potchefstroom,06-Apr-09,
JR Hopes (AUS),31,41,28,3,0,110.71,2,,v South Africa,Port Elizabeth,13-Apr-09,
CH Gayle (WI),31,-,28,3,2,110.71,1,,v England,Bristol,24-May-09,
SJ Benn (WI),31,-,29,3,1,106.89,2,,v England,Birmingham,26-May-09,
A Bagai (CAN),31,78,56,2,1,55.35,1,,v Scotland,Aberdeen,08-Jul-09,
Mushfiqur Rahim (BDESH),31,58,30,4,0,103.33,2,,v West Indies,Roseau,28-Jul-09,
Fawad Alam (PAK),31,69,58,2,0,53.44,2,,v Sri Lanka,Dambulla,30-Jul-09,
Mushfiqur Rahim (BDESH),31,60,42,4,0,73.8,2,,v West Indies,Basseterre,31-Jul-09,
DPMD Jayawardene (SL),31,56,33,3,1,93.93,2,,v Pakistan,Colombo (RPS),09-Aug-09,
HMCM Bandara (SL),31,63,43,1,0,72.09,2,,v Pakistan,Colombo (RPS),09-Aug-09,
E Chigumbura (ZIM),31,32,20,0,3,155,2,,v Bangladesh,Bulawayo,11-Aug-09,
OA Shah (ENG),31,57,41,3,0,75.6,1,,v Australia,Nottingham,15-Sep-09,
AJ Redmond (NZ),31,83,55,5,0,56.36,2,,v Pakistan,Johannesburg,03-Oct-09,
MA Ouma (KENYA),31,57,53,1,0,58.49,2,,v Zimbabwe,Harare,13-Oct-09,
Harbhajan Singh (INDIA),31,33,25,5,1,124,2,,v Australia,Mohali,02-Nov-09,
Raqibul Hasan (BDESH),31,71,51,3,0,60.78,2,,v Zimbabwe,Chattogram,05-Nov-09,
NLTC Perera (SL),31,-,14,4,1,221.42,1,,v India,Kolkata,24-Dec-09,
ST Jayasuriya (SL),31,94,51,5,0,60.78,1,,v India,Delhi,27-Dec-09,
KA Pollard (WI),31,52,35,3,0,88.57,2,,v Australia,Melbourne,07-Feb-10,
Mohammad Ashraful (BDESH),31,65,55,4,0,56.36,1,,v New Zealand,Christchurch,11-Feb-10,
V Kohli (INDIA),31,-,46,1,0,67.39,1,,v South Africa,Jaipur,21-Feb-10,
T Taibu (ZIM),31,59,46,2,0,67.39,1,,v West Indies,Providence,06-Mar-10,
N Deonarine (WI),31,-,24,3,0,129.16,1,,v Canada,Kingston,13-Apr-10,
JH Kallis (SA),31,54,41,2,1,75.6,1,,v West Indies,Roseau,28-May-10,
GI Maiden (SCOT),31,33,35,1,1,88.57,1,,v Netherlands,Rotterdam,15-Jun-10,
SHT Kandamby (SL),31,63,45,2,0,68.88,2,,v India,Dambulla,24-Jun-10,
AR White (IRE),31,50,35,1,1,88.57,1,,v Afghanistan,Rotterdam,03-Jul-10,
Junaid Siddique (BDESH),31,24,19,4,0,163.15,1,,v Netherlands,Glasgow,20-Jul-10,
GM Hamilton (SCOT),31,78,65,3,0,47.69,1,,v Afghanistan,Ayr,16-Aug-10,
Abdul Razzaq (PAK),31,37,24,3,1,129.16,1,,v England,The Oval,17-Sep-10,
JK Kamande (KENYA),31,-,27,3,2,114.81,1,,v Afghanistan,Nairobi (Gym),07-Oct-10,
SE Marsh (AUS),31,57,53,0,0,58.49,1,,v Sri Lanka,Melbourne,03-Nov-10,
BJ Haddin (AUS),31,74,44,3,0,70.45,2,,v Sri Lanka,Brisbane,07-Nov-10,
DL Vettori (NZ),31,40,32,4,0,96.87,1,,v India,Jaipur,01-Dec-10,
RJ Peterson (SA),31,39,35,3,0,88.57,1,,v India,Port Elizabeth,21-Jan-11,
S Chanderpaul (WI),31,73,51,1,1,60.78,1,,v South Africa,Delhi,24-Feb-11,
MS Dhoni (INDIA),31,38,25,3,1,124,1,,v England,Bengaluru,27-Feb-11,
KP Pietersen (ENG),31,45,22,5,0,140.9,2,,v India,Bengaluru,27-Feb-11,
CO Obuya (KENYA),31,53,35,3,1,88.57,1,,v Canada,Delhi,07-Mar-11,
H Patel (CAN),31,61,35,5,1,88.57,2,,v New Zealand,Mumbai,13-Mar-11,
GC Wilson (IRE),31,60,48,4,1,64.58,2,,v South Africa,Kolkata,15-Mar-11,
AJ Strauss (ENG),31,50,39,3,1,79.48,1,,v West Indies,Chennai,17-Mar-11,
RR Sarwan (WI),31,114,68,3,0,45.58,2,,v England,Chennai,17-Mar-11,
Younis Khan (PAK),31,66,42,4,0,73.8,2,,v Australia,Colombo (RPS),19-Mar-11,
RS Bopara (ENG),31,70,56,1,0,55.35,1,,v Sri Lanka,Colombo (RPS),26-Mar-11,
Taufeeq Umar (PAK),31,74,43,3,1,72.09,2,,v Ireland,Belfast,30-May-11,
AN Cook (ENG),31,55,35,3,0,88.57,1,,v Sri Lanka,Manchester,09-Jul-11,
CS MacLeod (SCOT),31,41,41,1,0,75.6,2,,v Ireland,Edinburgh,12-Jul-11,
E Chigumbura (ZIM),31,21,21,1,2,147.61,1,,v Bangladesh,Harare,16-Aug-11,
E Chigumbura (ZIM),31,74,65,1,0,47.69,1,,v Bangladesh,Bulawayo,19-Aug-11,
KC Sangakkara (SL),31,92,56,1,0,55.35,1,,v Australia,Colombo (RPS),20-Aug-11,
RT Ponting (AUS),31,54,35,6,0,88.57,1,,v Sri Lanka,Colombo (RPS),22-Aug-11,
GP Swann (ENG),31,26,23,3,0,134.78,2,,v India,Lord's,11-Sep-11,
LD Chandimal (SL),31,76,47,2,0,65.95,2,,v Pakistan,Dubai (DSC),18-Nov-11,
DP Hyatt (WI),31,70,54,2,1,57.4,1,,v India,Cuttack,29-Nov-11,
R Ashwin (INDIA),31,74,64,1,0,48.43,2,,v West Indies,Ahmedabad,05-Dec-11,
G Gambhir (INDIA),31,73,41,2,0,75.6,1,,v West Indies,Chennai,11-Dec-11,
V Kohli (INDIA),31,30,34,3,0,91.17,2,,v Australia,Melbourne,05-Feb-12,
KC Sangakkara (SL),31,85,56,2,0,55.35,1,,v India,Adelaide,14-Feb-12,
Azhar Ali (PAK),31,69,50,3,0,62,2,,v England,Abu Dhabi,15-Feb-12,
KJ O'Brien (IRE),31,-,32,6,1,96.87,1,,v Afghanistan,Dublin,05-Jul-12,
MS Dhoni (INDIA),31,60,49,1,0,63.26,2,,v Sri Lanka,Colombo (RPS),28-Jul-12,
WU Tharanga (SL),31,37,21,4,0,147.61,2,,v India,Pallekele,04-Aug-12,
Mominul Haque (BDESH),31,40,29,2,1,106.89,1,,v West Indies,Khulna,02-Dec-12,
V Sehwag (INDIA),31,70,43,3,0,72.09,2,,v Pakistan,Kolkata,03-Jan-13,
SK Raina (INDIA),31,81,60,2,1,51.66,1,,v Pakistan,Delhi,06-Jan-13,
MS Wade (AUS),31,85,53,1,0,58.49,1,,v Sri Lanka,Sydney,20-Jan-13,
F Behardien (SA),31,63,40,1,1,77.5,2,,v New Zealand,Kimberley,22-Jan-13,
Q de Kock (SA),31,63,38,4,0,81.57,2,,v New Zealand,Potchefstroom,25-Jan-13,
B Kumar (INDIA),31,27,30,5,0,103.33,1,,v England,Dharamsala,27-Jan-13,
JE Root (ENG),31,64,49,4,0,63.26,2,,v India,Dharamsala,27-Jan-13,
Mohammad Hafeez (PAK),31,60,49,3,1,63.26,2,,v South Africa,Centurion,15-Mar-13,
Mahmudullah (BDESH),31,72,48,1,0,64.58,1,,v Zimbabwe,Bulawayo,05-May-13,
V Kohli (INDIA),31,46,41,2,0,75.6,1,,v South Africa,Cardiff,06-Jun-13,
AB de Villiers (SA),31,52,31,1,1,100,1,,v Pakistan,Birmingham,10-Jun-13,
LD Chandimal (SL),31,38,32,1,1,96.87,1,,v Australia,The Oval,17-Jun-13,
MS Wade (AUS),31,29,23,4,1,134.78,2,,v Sri Lanka,The Oval,17-Jun-13,
S Dhawan (INDIA),31,40,24,2,1,129.16,1,,v England,Birmingham,23-Jun-13,
V Kohli (INDIA),31,62,52,4,0,59.61,1,,v Sri Lanka,Port of Spain,09-Jul-13,
J Charles (WI),31,84,51,3,1,60.78,1,,v Pakistan,Providence,16-Jul-13,
D Daesrath (CAN),31,81,55,3,1,56.36,1,,v Netherlands,King City (NW),29-Aug-13,
MC Sorensen (IRE),31,57,44,3,0,70.45,2,,v Scotland,Belfast,06-Sep-13,
GJ Maxwell (AUS),31,21,23,1,3,134.78,1,,v India,Pune,13-Oct-13,
Misbah-ul-Haq (PAK),31,73,49,3,0,63.26,2,,v South Africa,Sharjah,30-Oct-13,
